impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
global warming net (GWP100 max)	17889.1610889	19080.4266028	8386.35450475	15064.6856846	14525.951321	17354.9718662	20412.1290702	18240.1785318	13818.7781125	22324.5807305	12821.3348265	20441.9085189	9274.10180525	22563.3660574	14416.1724359	10299.5911183	31003.2902812	10493.4920137	12481.5527992	18651.3281165	11182.2966262	10850.3015892	7349.78028134	14355.4884746	16387.5634039	12988.048865	17985.8191479	25924.6709042	14570.4822972	5527.83910114	22335.7637748	15825.1066179	3174.54645127	1535.89242831	5700.86831144	11726.8641285	27890.6565905	16229.5346259	7312.86796596	12999.5763406	19378.4913153	2155.62908343	7689.71493373	1562.78885857	3065.78445254	6013.02078562	959.485914489	4975.20367984
global warming (GWP20)	20632.0361121	21900.470471	10653.5162917	16852.247653	16898.3053228	19589.2232575	22916.360925	21869.2000939	15865.7532292	27035.3491482	14897.7409078	25421.1596588	11153.9750662	24192.5357649	16756.1491575	13074.1349426	37430.8641621	12127.5109292	13996.9385223	21685.5054715	13085.8826545	12316.8456858	8624.71841552	16730.2975867	20076.1817604	15779.7018408	19982.5848546	27732.1889563	16338.998646	5747.96168476	23818.9925285	18223.7845535	3351.45794901	1614.84552969	6087.12382603	12956.5275184	30398.2805712	18147.9911091	8354.40206828	14676.710208	20876.8289177	2249.49275037	8000.34324497	1551.55720441	3301.56870673	6844.13950486	817.873454047	5158.13985395
global warming (GWP500)	15900.8051213	17055.4843622	7178.75364861	13610.1246729	13074.5077815	15592.0505829	17931.2101139	16033.7215977	12440.5896442	19522.1996442	11398.4635305	17681.2533987	8134.32502568	20800.7894678	12943.809588	8563.19582622	27490.7054978	8918.96763111	11423.9349811	16674.103619	9845.33699363	9667.0322525	6505.33934276	12710.1469711	14314.740464	11558.5757409	16488.9963954	24024.0629199	13405.0372799	5110.144584	20628.4647895	14472.5331433	2734.63948042	1348.45556588	5190.84028553	10896.2344004	25453.4612111	14691.32475	6522.64159691	11893.9801219	17506.941248	1829.82452393	7020.09115971	1380.49516679	2736.91849582	5448.81309413	690.939173328	4639.19024425
ozone layer depletion (ODP steady state)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP10)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP15)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP20)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP25)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP30)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP40)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human toxicity (HTP inf)	18411.8193135	17925.9835031	6622.8646119	97279.1597559	7421.72415321	18468.6972591	18332.4505763	18757.6497635	10466.8193711	26907.3101569	9147.68162304	20940.9164021	4834.26847859	16576.7477207	14096.5911836	7963.11156022	28198.2656259	15992.761961	14586.7035496	16526.3421269	3957.28721526	6033.31356916	4863.77251224	19195.9844457	10888.2528813	7290.7718647	20866.5052219	20156.0812451	22019.4341322	5165.17478549	20410.986371	12807.9341026	4820.44680372	647.642191857	2210.209799	10352.8282425	20052.3772416	25052.1589998	13253.4567759	7262.25233111	60855.5956824	4586.74868926	12144.9049369	4435.1796898	2946.77390813	5539.90751193	1050.36807004	5538.41156258
Freshwater aquatic ecotoxicity (FAETP inf)	30.2899939778	27.5922649939	11.6934589847	103.646564278	15.5915620236	26.6234370499	30.7599672942	31.2559316285	17.4778975144	40.7929495442	17.5421665985	32.2888073734	9.26691784878	29.8655178418	20.0593274918	14.6976187493	43.5152962499	27.0768728564	25.4345692741	22.6401164485	12.6712950766	14.1868262238	10.3528923168	27.1115694667	21.4942501151	11.6378159441	26.5706400276	29.1447916041	29.0614125228	11.4401974529	30.3088289637	19.8160811333	7.92386004622	4.08825187319	6.87895291132	13.9791072567	30.6237888343	34.9779587772	17.949734092	12.7830827258	69.0037615862	10.0256821189	19.4819399207	7.47498484603	6.47703871385	8.89829039444	8.0686861692	8.37316626143
Marine aquatic ecotoxicity (MAETP inf)	127489.495986	125740.684946	56506.8502341	470002.864941	92125.0947726	131290.510951	132730.787925	163787.601014	82752.1463813	171842.492626	71984.6372467	169134.075621	41338.4360066	134229.708673	94219.199653	54335.6631799	200549.188386	88785.0328193	129134.480616	106963.237782	56366.6804621	58819.2861719	45059.8164853	117510.25593	105604.954311	62959.1233222	130196.041256	158524.538014	139248.114647	37206.2917791	149243.279289	98586.3070241	28096.3698832	8928.46865483	31975.7635315	69932.4609963	183775.925121	163958.140898	74060.3707251	71866.9785932	299224.615816	25529.9773538	77258.8814244	22167.7838628	22695.0030124	39397.3181256	7587.91295375	39809.6697348
Freshwater sedimental ecotoxicity (FSETP inf)	81.3523286987	72.2502029096	31.3683611795	262.725089755	41.5881654249	69.3928085906	82.3983060953	83.2016478404	46.0013069516	108.816790409	47.4065474864	83.5901581613	25.0136404101	79.273832843	52.0462926461	40.3307579502	113.769966911	75.1563783382	65.2419471574	58.7312697326	35.67395002	38.742580784	28.4530834793	71.3884237367	57.5033166872	30.2296370333	68.2569138052	74.7224614645	74.601318928	32.5893912072	78.6512724726	51.4874579749	21.5457807497	12.4254235431	18.6453229611	36.1562487793	78.6665860859	90.977887445	47.7529921241	32.9619207734	178.125363488	28.9554050728	53.3824409319	20.9791868587	17.9479881014	23.7661829603	25.3822104786	21.5558488979
Marine sedimental ecotoxicity (MSETP inf)	111876.675021	114568.4742	44002.4585349	456936.468616	62822.8804864	111191.341564	114668.808406	122428.004976	71998.7987078	153273.327307	64440.5475263	140948.923197	33737.9445741	118706.903558	85123.5038516	48410.07589	182608.615228	82307.6410132	121684.257824	94415.6139236	39324.0156621	51198.8003154	35710.7536212	106535.407882	84088.7544745	49697.8122989	114988.768763	129384.99669	128662.642289	31046.9600777	128860.357085	85804.4435394	26834.3447373	7017.22525469	27022.0179381	59948.5564367	138072.818061	147639.498825	66578.3891855	58759.1167738	282396.713793	24125.5562425	63921.1874498	21147.0141809	21265.5346629	33552.6628459	7515.50700293	37767.495155
Terrestrial ecotoxicity (TETP inf)	164.602826635	160.864329037	56.8448791757	747.598540108	71.70569504	160.976544598	163.148695549	157.01625834	92.9957707998	226.539181447	83.4498817148	182.635828106	47.3608703096	144.288159023	121.408953507	69.8516080224	241.95161299	128.684900344	118.562634445	145.928855828	41.2314272401	61.4290495363	45.8004856798	166.910594861	98.3001756146	69.7966315869	173.771908969	167.466967317	179.56802239	45.9095278139	172.388484197	113.962620847	40.3365800569	6.30117658971	20.4227870199	84.9476431826	185.308990498	210.653797785	109.355872885	68.3927449127	503.382652893	36.8314189897	99.4251581802	34.625719777	24.1618399499	45.8303007681	8.61378814601	44.1420902542
human toxicity (HTP20)	18330.3652226	17862.0354055	6566.84409147	97173.3185997	7297.66074035	18372.4348943	18239.0665277	18577.24316	10412.6461428	26808.5492605	9106.55021596	20810.7694471	4797.03454953	16496.678841	14046.4595882	7927.48072049	28098.1835587	15943.6092895	14546.131853	16459.8595913	3883.01828878	5993.80853867	4820.28969985	19133.3336567	10791.1768071	7228.83402771	20789.5026155	20026.6436683	21961.5270035	5134.65256477	20314.0251849	12744.0691494	4810.72550268	638.463589466	2187.73329925	10300.7307536	19853.7569412	24966.0612382	13210.7413214	7201.62544585	60740.9799541	4576.76270275	12082.935759	4427.46067529	2937.26170484	5511.69590822	1047.09302057	5525.58555732
Freshwater aquatic ecotoxicity (FAETP20)	8.37733322877	5.32361735721	3.7600740314	7.73540872318	5.66406248249	5.50550345765	8.57849730736	9.85435298582	3.89355915648	10.3444756303	5.07899471955	6.46616412975	2.9924163545	7.30703329169	3.3981292617	5.03236294774	8.16997175849	9.784912632	2.89370945864	4.13410321497	6.25372807998	4.64032931507	3.8987839403	5.67816660452	6.52917551366	2.75328241027	3.99496069868	5.23355765528	3.70185438939	5.28353908092	5.77390654841	3.67800764018	2.32059362363	2.73368629091	2.17363299243	2.58079287878	6.77457018774	6.08956128187	4.37261190962	2.43770786412	9.62094957746	4.76260503313	6.84498502338	2.86916420082	2.29070278875	2.48468891907	6.09731329828	1.04943958411
Marine aquatic ecotoxicity (MAETP20)	379.156500115	293.476650552	153.059159662	941.738193099	211.792065991	294.954451546	381.990874115	405.601999415	194.91260265	494.018210426	219.124234894	340.568316008	121.646292395	342.575560723	207.536311154	200.684213942	457.037933998	388.341989653	213.83403631	241.186683561	203.654274086	184.778767475	146.409913833	308.75037003	269.979578203	130.765333736	270.113508945	306.141031972	278.183319419	185.287296761	322.528077238	206.705824956	102.546118345	81.6407975131	84.5687097437	146.719262571	340.487965226	367.228605946	217.873158379	130.264855785	718.267322441	167.236707325	277.635694657	112.33695344	87.8661022028	109.472259128	177.753883063	76.7254733379
Freshwater sedimental ecotoxicity (FSETP20)	25.9108549108	15.9664611627	11.5655887381	20.4532861491	17.3485190827	16.4689301542	26.3976129489	30.1665887996	11.7861937291	31.7869923598	15.7574762122	19.0571449674	9.23830780481	22.2752190787	10.0471371738	15.7190700773	24.457461883	30.8572471151	8.18896014793	12.2042683939	19.6580536303	14.4900372742	12.1981118153	17.2272495625	20.0589058381	8.16295613739	11.5836990602	15.2283756771	10.6422775092	16.8115391256	17.0890123392	10.9294842079	7.23355581275	8.81678781926	6.74339883025	7.59064369104	19.9451128566	18.1457168615	13.4137056009	7.16866703701	28.1426469781	15.2615352296	21.4555384772	9.12001068787	7.20354936549	7.6087405618	19.8004124337	3.02032365712
Marine sedimental ecotoxicity (MSETP20)	914.832408113	643.755124246	381.798863605	1663.3217565	546.249306596	655.413485541	919.454538206	1006.80541352	444.629154364	1161.80495082	537.036799805	747.201127686	303.764627884	799.994379308	438.829142766	509.441849805	996.487022288	1000.4856228	414.063066307	515.222563464	567.957727179	469.789992879	383.634721052	689.67440069	668.164250938	297.714132176	551.535010178	650.910187628	550.316156178	508.221700433	699.509185811	448.882858627	250.253036498	244.428998347	215.078172928	314.853295366	765.39684914	785.562238868	505.318087997	284.962712117	1446.0904097	461.915610203	708.603079999	294.156341221	227.651767728	263.035696221	542.482534991	151.651811625
Terrestrial ecotoxicity (TETP20)	1.96836852001	1.9200142561	0.676247294493	8.34162412708	0.893303706564	1.89691600123	1.92410152817	1.85861240142	1.0783499448	2.62541648484	0.989294365681	2.19203847076	0.576335504075	1.65511534886	1.38566876453	0.830570641	2.76369860782	1.45879933818	1.33919423043	1.69654309458	0.550510935327	0.813676865865	0.561046922422	1.92742812303	1.17569708443	0.816644637776	1.96736815878	1.91739079069	1.97216432419	0.544271172375	1.95731901998	1.24206736872	0.454345769017	0.0950485623841	0.240990374314	0.936272923175	2.27127070255	2.44168048962	1.26264755926	0.792581402065	5.83682091677	0.45125042299	1.19811580962	0.406709708758	0.28615730368	0.551807023658	0.140982167837	0.497192407328
human toxicity (HTP100)	18330.9617508	17862.5045285	6567.13239465	97174.3225205	7298.18190561	18372.9697546	18239.7159583	18578.0968213	10412.9838122	26809.3586894	9106.8775149	20811.3975756	4797.264382	16497.2310619	14046.7993023	7927.79783696	28098.8936901	15944.1836357	14546.4052028	16460.2924675	3883.41509608	5994.10724018	4820.54469697	19133.8622552	10791.6786713	7229.13582095	20789.9680588	20027.2857246	21961.9204688	5134.9071717	20314.588933	12744.4393033	4810.86881946	638.568893757	2187.87187074	10301.0345867	19854.6177374	24966.6342807	13211.0690308	7201.92685829	60741.9635711	4576.94271286	12083.3518929	4427.5841612	2937.37539386	5511.86702945	1047.27099888	5525.68680479
Freshwater aquatic ecotoxicity (FAETP100)	10.8538137103	7.42348198138	4.83478276141	15.0908068876	7.34112192055	7.74251869625	11.1109098173	12.8768861389	5.30688608204	13.6037867715	6.46834851457	9.17855705909	3.8001096244	9.66372323778	4.94615318623	6.2091733803	11.4778460912	11.9213862517	4.65257413319	5.93013053279	7.52661468594	5.79977001558	4.83538274603	7.80866090365	8.45534156764	3.79587127168	6.1136009774	7.79035576156	5.87249511465	6.28559952442	8.23516372904	5.27181614328	2.91719135941	3.10481022463	2.74170767751	3.71757189937	9.76556238961	8.82326805967	5.80469989078	3.54399316017	14.8072129848	5.57712010584	8.5667714242	3.46060198323	2.78040406715	3.22038390947	6.78966582936	1.6412996638
Marine aquatic ecotoxicity (MAETP100)	1322.19585439	1215.76885299	491.678880943	5196.71450594	622.258890866	1199.78386571	1333.48263395	1319.51610179	753.641876117	1814.51070969	733.851809457	1403.70913214	389.973592418	1263.12427159	912.230751414	619.1664119	1909.42995025	1160.67107315	1039.741555	1044.47229015	466.355270589	565.464912966	414.70109205	1249.11566068	880.958544025	505.456881643	1251.26383961	1331.35461085	1340.20186928	458.272419486	1359.09191887	868.480301884	348.345698178	138.044064336	254.993694184	628.695529762	1352.22828064	1589.00702001	825.633346329	537.61482381	3418.9954138	405.675622574	852.524725784	322.910462603	255.388428975	382.68557446	271.312080712	367.475441709
Freshwater sedimental ecotoxicity (FSETP100)	32.4958071826	21.3906253244	14.2666532667	39.0808230798	21.283586459	22.014826002	33.0448463002	37.5319196669	15.3892013086	40.4155180326	19.5182574508	25.6142720516	11.3314114308	28.4153321184	13.9698085459	18.9812758656	32.9762670427	36.9984533428	12.6279169419	16.700762517	22.9927483968	17.6410755966	14.6743493603	22.7878980021	24.9105031271	10.6361739983	16.8078882895	21.2719788375	16.1038814683	19.695519969	23.1850582653	14.8991239884	8.91388523908	9.98297950024	8.24128424532	10.3781208283	26.7787570236	25.1012503473	17.2060233263	9.79530028622	41.502161193	17.7601726235	26.088776051	10.8678660652	8.6136601249	9.51571342981	22.1838730814	4.53449975703
Marine sedimental ecotoxicity (MSETP100)	2031.39200774	1714.87378185	784.135723664	6540.46825921	1036.40167726	1708.76190403	2044.1689405	2089.92232932	1095.9554178	2717.21399703	1146.78572377	1976.46398483	623.716059925	1875.94946123	1254.27977989	1012.27577451	2679.77549333	1936.24746508	1349.58577082	1447.56489361	897.401126775	924.981512281	708.36530623	1789.76300934	1390.34669929	734.044676493	1684.39403473	1834.04883238	1770.08625198	849.485484044	1899.40554681	1214.54195383	542.51340316	324.546213943	416.327133891	872.67814546	1940.18039527	2201.55626576	1221.36227358	754.424142515	4578.20950238	762.28461588	1402.00720537	551.381350139	429.208623509	585.142881519	686.888058489	483.970579406
Terrestrial ecotoxicity (TETP100)	9.18507983262	9.04269121477	3.12781553627	39.7356066903	4.09530225633	8.91571836058	8.97200170454	8.59892761881	5.0530056337	12.2840488199	4.59845432418	10.3018959755	2.67307567259	7.72985450094	6.53958851088	3.84194557313	13.012289964	6.72782623503	6.34516302143	8.00342436309	2.45364272797	3.76288086811	2.57322648734	9.06744871731	5.43899297109	3.82629433658	9.30221886832	9.02015483717	9.34407096841	2.4600326513	9.20951336331	5.84425326964	2.1160459288	0.380903030664	1.09595117914	4.41076106428	10.6399650281	11.5147504022	5.92291649016	3.71945635078	27.6618276389	2.03329170843	5.53848799549	1.87073643597	1.31171139637	2.57270148894	0.514080657388	2.35519262606
human toxicity (HTP500)	18332.0293675	17863.5369895	6567.60880908	97177.2801904	7298.97132833	18374.0238914	18240.9294505	18579.4743739	10413.6644153	26810.7529014	9107.47044033	20812.6790943	4797.674399	16498.3072672	14047.5809207	7928.39724151	28100.4853338	15945.2716229	14547.091435	16461.2291551	3883.93196905	5994.59830845	4820.94634488	19134.8739765	10792.5276522	7229.74504946	20790.9877613	20028.4412905	21962.8573091	5135.22912697	20315.6720331	12745.231753	4811.09162253	638.643022045	2188.07844973	10301.7604741	19856.1108374	24967.867415	13211.7570312	7202.52138071	60744.3959825	4577.12598566	12083.9403137	4427.74931269	2937.5603473	5512.18192879	1047.34044696	5525.95382769
Freshwater aquatic ecotoxicity (FAETP500)	16.564097683	13.2283462061	6.91916825011	40.8290777315	9.97886522142	13.3495228694	16.9054180225	18.5373318637	8.84637279276	21.5696785659	9.66270365325	15.9960847262	5.4394592859	15.499876656	9.33979918197	8.6861921451	20.6729278356	16.3205673918	10.3589370014	10.8591601996	9.13792459779	8.21161028687	6.48118688015	13.4786323804	12.3432855412	6.16506793661	12.1500552714	14.2386877725	12.5537487344	7.81783963794	14.7404460483	9.49465586827	4.36665016231	3.38849155361	3.91037125268	6.72181594716	16.2143591692	16.429745648	9.38835433429	6.24902141151	30.7908757763	6.86666030506	11.876176675	4.63119171228	3.81456043761	4.89432909462	7.1401509756	3.53666217488
Marine aquatic ecotoxicity (MAETP500)	6072.74751977	5962.24364895	2179.50538504	27590.586563	2637.99098858	5849.96490504	6132.86785243	5884.49931839	3606.13903149	8515.11784616	3310.15174802	6880.73194253	1728.04427373	5935.78024822	4559.35716282	2689.35365457	9386.22320066	4951.4797567	5337.93162407	5203.12597505	1669.23983033	2441.73805324	1717.80283104	6075.48670716	3930.63836319	2427.054755	6354.76460285	6636.85712115	6873.62743448	1735.07144506	6705.51043259	4277.34029156	1581.63576376	345.124015349	1091.09838875	3120.53066139	6546.80766277	7897.74463081	3922.76542023	2633.30324983	17496.6791811	1511.85275356	3687.98172255	1346.10074195	1072.16826248	1762.1359226	558.796850168	1880.38825092
Freshwater sedimental ecotoxicity (FSETP500)	46.7020117635	35.9330138167	19.3269573234	104.111481045	27.4448481853	35.8780828747	47.4209111832	51.1369382686	24.1844582431	60.2876959831	27.4944582461	42.4160746911	15.3537511049	42.9585874665	24.9588112307	25.1577297496	56.0096198058	48.0311191627	27.0236026311	28.9797248286	26.7729464727	23.6340021564	18.6826111556	36.9719976317	34.3931616601	16.409458792	31.8456134606	37.1016293465	32.8755596897	23.4669715529	39.326426042	25.3941179428	12.5670984304	10.6675798465	11.1271050083	17.8219437815	42.312430067	44.1144934781	26.1550964985	16.4343230675	81.7102728002	21.0010638151	34.2296357527	13.8143743301	11.2155823835	13.6571519825	23.0663610304	9.31534211352
Marine sedimental ecotoxicity (MSETP500)	6715.35582056	6403.37358211	2436.75156686	28700.0942277	2987.95785296	6285.58766254	6772.76368157	6547.37873383	3906.81241284	9328.27572502	3688.94122239	7360.62129028	1938.43948561	6482.77589338	4854.72610553	3055.04910218	10063.7813216	5682.32353555	5600.44939753	5549.71902841	2063.30840768	2774.27581079	1985.61096351	6555.74570245	4379.09194243	2618.34474524	6717.05357872	7043.16021795	7236.39687724	2105.04157557	7164.50152129	4573.68082129	1762.38154751	526.901963136	1237.74251736	3326.67734257	7016.11655591	8428.16652653	4278.3701677	2812.07276695	18498.5346862	1855.77616681	4189.37698362	1563.1486584	1236.6452128	1942.90632544	971.484906023	1980.19292192
Terrestrial ecotoxicity (TETP500)	36.3972821256	35.9287436711	12.337677644	159.060148591	16.0016116047	35.3763622462	35.5550016969	33.8914459663	20.059057198	48.8076148526	18.2200381044	40.8220634036	10.5466030112	30.697348302	26.0445533665	15.2100888399	51.8109676006	26.7182894779	25.3516908153	31.824874038	9.50623548913	14.8089237133	10.1200650401	36.0721717894	21.4484982326	15.1386693406	37.0634310522	35.8072643409	37.3405277316	9.68023284105	36.6277022436	23.2796367093	8.42367395842	1.43998685736	4.31233141974	17.5724467136	41.9683935887	45.8272707073	23.5564178202	14.734056711	110.296477812	8.01421308907	21.8877415355	7.41945466198	5.19522397861	10.1887830947	1.90737335557	9.4109624969
Human toxicity (USEtox) 2008	2.63668503753e-08	2.27225283882e-08	1.52144093538e-08	1.09312604884e-08	1.94611641777e-08	1.9878559613e-08	3.55770361331e-08	3.4727900025e-08	1.41466188374e-08	3.86279961721e-08	1.8627489599e-08	3.38941322738e-08	1.35604492932e-08	3.33240569899e-08	1.33595362629e-08	2.27636820386e-08	3.27328410693e-08	3.48076618411e-08	9.7014359892e-09	2.23680692216e-08	2.46957270462e-08	1.56042039648e-08	1.19373335495e-08	1.99841773066e-08	2.37721057677e-08	1.69870411395e-08	1.53157334498e-08	2.32126999138e-08	1.00605255354e-08	1.47349449355e-08	2.84502308499e-08	1.29556017823e-08	1.03417804278e-08	7.36618188479e-09	7.80860683879e-09	1.30634038791e-08	2.46791410756e-08	1.63160137885e-08	1.54132709278e-08	8.70955689367e-09	2.83736375679e-08	1.24215509797e-08	1.84723362859e-08	7.60547106357e-09	9.45919546157e-09	1.20455393829e-08	1.61984595288e-08	3.61348104967e-09
Fresh water Ecotoxicity (USEtox) 2008	3.44817621285	3.56244869059	2.20541745277	1.76238493527	2.52176355082	2.88586388501	5.32022513178	4.70706958362	2.04219007954	5.33286872753	2.63766943364	5.75305624077	2.03903211721	5.1617443909	2.06429090378	3.46655515542	5.08980154545	4.76677063448	1.59113693811	3.66890106681	3.33979640102	2.06508127886	1.5136071314	2.65554550844	3.38523009325	2.85993841913	2.28094136717	3.30688478431	1.41228356335	1.68233029539	4.41559448723	1.8481347184	1.44928715467	0.771858983896	1.04540633286	2.16756998684	3.28628181087	2.14740662697	2.18232743399	1.16210396268	4.10198397443	1.35206140095	2.03618931913	0.854629712566	1.38625729986	1.93387306466	1.72883896081	0.584287062043
