impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
global warming net (GWP100 max)	148494133697	202742888954	64237496326.7	16015192027.9	150113505103	1.42773057159e+12	111479577365	24472336811.1	620172182876	118068456601	820726618720	228801437319	93258327451.2	98307029040	855964404654	34767485171.4	14881362311.9	23884237172.5	5105579172.5	305540387201	426275409478	115103634110	158364782300	131325329271	33072102231.9	70100629923.8	1.09689483935e+12	7.80931990756e+12	1.86168145098e+12	7.2850562338e+12	735461241402	769068531418	603154225913	1.78024561817e+12	647218547541	1.66638739266e+12	586147249839	122551114815	508218823664	298444273627	91256280513.1	497891702407	371084742057	1.32756972239e+12	832738091537	503457981856	789912831302	1.36828507332e+12
global warming (GWP20)	171262157775	232707829084	81603420564.3	17915540218.7	174629790935	1.61153432769e+12	125156284378	29341293428.3	712038266559	142982391747	953642712498	284533015246	112161919392	105405209043	994901198754	44133285246.8	17966552781.8	27603427625.9	5725447702.56	355245358240	498841174883	130661225178	185835712360	153050301511	40516184086.7	85168068779.8	1.21867088864e+12	8.35380075207e+12	2.08764611125e+12	7.57515248492e+12	784300281404	885639481733	636766875503	1.87175978294e+12	691070066200	1.84112256037e+12	638847224657	137037604180	580601811945	336947912956	98312181528.1	519571657128	386074820069	1.3180285717e+12	896782558095	573045859230	673328004067	1.41859634749e+12
global warming (GWP500)	131989212341	181226460187	54987558762.5	14468855489.2	135114055335	1.2827014335e+12	97930192301.9	21511995323.5	558320538408	103247447702	729644967436	197902078835	81796982906.8	90627604456.6	768542435046	28906077968.5	13195346204	20300462225.2	4672960604.02	273150096560	375309759586	102551116590	140169720640	116273593825	28888892654.7	62385308900.9	1.00560863553e+12	7.2367974704e+12	1.71277166704e+12	6.73458289508e+12	679244125041	703336165698	519573231731	1.56298844124e+12	589315158074	1.5483549083e+12	534927395466	110935912072	453300846534	273061995638	82442864898.9	422639708440	338770518760	1.17271349568e+12	743410477867	456218021139	568827233855	1.27587435047e+12
ozone layer depletion (ODP steady state)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP10)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP15)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP20)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP25)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP30)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ozone layer depletion (ODP40)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human toxicity (HTP inf)	152832608815	190476122909	50729579931.1	103416988341	76697284875.2	1.51935271907e+12	100121542211	25166613473.5	469739810881	142305229373	585566628528	234386714292	48612340281.6	72223746023.7	836989175442	26880422718.7	13534970112.6	36401125499.5	5966691086.94	270729512714	150854004727	64003411501.7	104799088622	175606631740	21973822681.4	39350614219.2	1.27257822982e+12	6.07164068185e+12	2.81343961365e+12	6.80710637218e+12	672083100717	622439981517	915870315676	750678988281	250924718433	1.47113689326e+12	421418754871	189171783710	921069031121	166726789018	286578310975	1.05941422435e+12	586080102401	3.76763005268e+12	800412070198	463845171182	864733086315	1.52317902113e+12
Freshwater aquatic ecotoxicity (FAETP inf)	251430818.531	293187130.145	89569136.1664	110186144.251	161125696.602	2190213576.27	167993654.26	41935208.2999	784389601.266	215742488.113	1122919202.42	361400968.483	93186087.1654	130122000.516	1191028366.97	49613546.4072	20887037.5929	61629670.3084	10404010.5616	370883505.064	483036864.246	150498605.169	223072455.933	248019131.746	43378019.0309	62812993.4759	1620454297.07	8779320752.67	3713198474.1	15076864620.2	997994480.953	963021910.914	1505509447.03	4738673327.02	780966278.932	1986431141.17	643586483.762	264122659.148	1247443928.67	293474013.218	324949270.885	2315659951.12	940145468.662	6349906772.44	1759313787.67	745035728.909	6642680877.91	2302795855.04
Marine aquatic ecotoxicity (MAETP inf)	1.05826327841e+12	1.33608279603e+12	432829137176	499657695704	952035469395	1.0800794014e+13	724900968942	219749238228	3.71382902608e+12	908826827602	4.60792177465e+12	1.89307762366e+12	415690218026	584829578838	5.59429220875e+12	183416442672	96262206581	202083613200	52822459295.9	1.75223924451e+12	2.14872942456e+12	623974692173	970898143211	1.07499463219e+12	213123681603	339810409571	7.94022026925e+12	4.7752537925e+13	1.77918360445e+13	4.90336138413e+13	4.91421061591e+12	4.79109734876e+12	5.33822531438e+12	1.03489456076e+13	3.63020264612e+12	9.93740270758e+12	3.86221646475e+12	1.23806710502e+12	5.14693751688e+12	1.64992209454e+12	1.40909449725e+12	5.89673055759e+12	3.7283036279e+12	1.88312570233e+13	6.16448866139e+12	3.29865719432e+12	6.24687628496e+12	1.09484918361e+13
Freshwater sedimental ecotoxicity (FSETP inf)	675288433.834	767708981.057	240274243.701	279301729.293	429778755.607	5708694605.64	450013240.044	111629321.261	2064490124.61	575501535.773	3034615034.24	935604829.432	251531664.963	345390619.802	3090263667.24	136141232.49	54608787.7275	171063432.736	26687218.4847	962117806.454	1359910952.17	410994275.722	613074976.186	653067868.078	116048708.479	163158964.093	4162760444.06	22508737257	9531866470.42	42949069831.1	2589791111.41	2502187482.66	4093633188	14402249408.1	2116800140.97	5137802951.54	1653249106.52	686984672.51	3318666437.94	756739777.116	838819589.846	6687911216.43	2576091505.9	17821558633	4875089423.23	1989894087.55	20896329420.9	5928309309.05
Marine sedimental ecotoxicity (MSETP inf)	928664561492	1.21737023631e+12	337048447797	485766875103	649221698608	9.14730826827e+12	626256587645	164258226293	3.23123012727e+12	810619711594	4.12500518825e+12	1.57760789245e+12	339261348289	517197788025	5.05423264188e+12	163413923556	87650857049.3	187340421710	49774945662.8	1.54668788495e+12	1.49905349849e+12	543134025344	769455073011	974595712561	169701365358	268234896882	7.01277967949e+12	3.89747987205e+13	1.64393223022e+13	4.0916322982e+13	4.24305159855e+12	4.16992434713e+12	5.09844435303e+12	8.13363246089e+12	3.06780480553e+12	8.51868986965e+12	2.90172453709e+12	1.11484312945e+12	4.62696588955e+12	1.34899180289e+12	1.32984933195e+12	5.57234746989e+12	3.08466276854e+12	1.79641258585e+13	5.77621193689e+12	2.80929611331e+12	6.1872668746e+12	1.03868511125e+13
Terrestrial ecotoxicity (TETP inf)	1366333168.1	1709296101.05	435418359.095	794768269.996	741018125.455	13242956301.2	891026485.523	210664317.36	4173552082.96	1198102299.7	5341841561.66	2044199539.3	476250492.442	628653552.979	7208691701.68	235792345.369	116135080.574	292899701.673	48498045.6198	2390562153.8	1571765095.99	651659936.213	986857248.281	1526913477.57	198381747.012	376714616.003	10597766418.3	50446276697.7	22943540896.8	60503478063	5676324744	5538355447.91	7663828232.99	7303663854.54	2318595313.84	12071060096.3	3894435213.4	1590671473.57	7599851841.58	1570160637.71	2370505930.02	8507056266.67	4797987896.2	29414118829.9	6562915560.22	3837277726.99	7091445199.88	12139998095.9
human toxicity (HTP20)	152156475676	189796629609	50300475965.5	103304469137	75415193716.5	1.51143356356e+12	99611531018.9	24924566985	467308573549	141782910645	582933701371	232930010270	48237924082.5	71874891439.3	834012597474	26760146614.7	13486931420.9	36289249103.8	5950095234.48	269640416028	148022831659	63584328904.1	103862169986	175033496558	21777911320.3	39016316016.8	1.2678820989e+12	6.03265004437e+12	2.80604077638e+12	6.76688159532e+12	668890409615	619336272521	914023297876	740040113848	248372965484	1.46373384009e+12	417244570500	188521649439	918100455985	165334916986	286038567974	1.057107733e+12	583089638310	3.76107284574e+12	797828335387	461483071071	862036847048	1.51965160141e+12
Freshwater aquatic ecotoxicity (FAETP20)	69538467.1374	56567160.9525	28801279.703	8223474.33657	58533327.944	452917795.494	46850931.1773	13221309.4792	174738827.238	54709035.1556	325119515.173	72374242.6234	30091080.5292	31836239.8666	201764906.973	16987334.9489	3921529.25427	22271439.6417	1183671.85406	67723622.1002	238395616.497	49226167.8846	84006602.416	51944390.4895	13176672.746	14860340.7121	243639265.899	1576510889.4	472988711.723	6963096901.66	190120406.029	178743815.298	440905771.015	3168602794.78	246772160.203	366730668.075	142373689.609	45982989.7181	303881280.421	55964897.1445	45306523.5655	1100032257.9	330320372.559	2437319347.84	622207953.009	208037941.882	5019715180.86	288617835.708
Marine aquatic ecotoxicity (MAETP20)	3147297726.27	3118394845.77	1172397041.05	1001157164.39	2188693096.69	24264832634	2086219475.55	544184845.759	8747471974.13	2612723989.84	14026705863.1	3811900446.38	1223248354.14	1492578080.36	12322528452.8	677433244.9	219375009.053	883905202.649	87468812.5527	3951046929.35	7763414974.56	1960195066.26	3154675819.3	2824476790.07	544851726.321	705782089.552	16473317760.2	92219232573.2	35543691359.7	244187349092	10620048746.2	10045489681.2	19483452386.1	94629460603.6	9601070310.27	20848807211.3	7155661028.39	2772986169.24	15141424783.6	2990620559.12	3382430716.27	38627131891.6	13397944010.3	95428846497.9	23866469215.9	9165889261.82	146338858054	21101109957.9
Freshwater sedimental ecotoxicity (FSETP20)	215080513.513	169654826.376	88589680.2552	21743786.2386	179282371.964	1354839134.51	144168926.468	40473667.5279	528951940.128	168112502.233	1008676580.57	213302107.077	92898390.8575	97051592.5358	596551673.316	53061575.8963	11739410.5016	70234180.1587	3349694.14851	199926614.731	749376012.896	153715169.567	262831166.124	157596463.905	40481319.1678	44058070.0935	706450988.704	4587261985.85	1359771779.06	22155675240.5	562698744.313	531151073.535	1374353730.15	10219496881.6	765576848.643	1078630468.5	419164497.283	137020431.07	932205765.672	164578257.836	132528030.445	3524999646.37	1035385970.76	7747335790.58	1956650913.91	637064348.235	16301020797	830652178.798
Marine sedimental ecotoxicity (MSETP20)	7593829875.28	6840348823.7	2924489190.68	1768269042.73	5645027734.26	53918489615.3	5021543954.23	1350802632.77	19954487364.1	6144461079.51	34377106814.2	8363245135.52	3054590269.78	3485520311.03	26055607173.3	1719681078.16	478306795.289	2277205326.06	169372497.273	8440219407	21650866616.4	4983689624.1	8266128612.9	6309204867.56	1348436974.43	1606857844.45	33636272076.9	196074461468	70314308012	669777755675	23033100607.5	21814809163.6	47547320169.4	283316490946	24417786043.4	44740653271.5	16085503641.8	5931872376.47	35117845071.6	6542173944.77	6809860991.13	106689945548	34195258657.6	249882157857	61835494806.5	22023443040.9	446607822664	41707420146.3
Terrestrial ecotoxicity (TETP20)	16339009.7905	20401495.4811	5179894.68145	8867938.90138	9231543.43222	156052397.41	10508361.2018	2493648.21784	48395207.8636	13885092.6717	63327276.8123	24534967.0901	5795503.03517	7211223.37203	82274483.3525	2803689.20603	1326555.98586	3320373.17363	547797.399958	27792253.2262	20985785.1408	8631756.77485	12088806.7845	17632289.7929	2372700.15143	4407690.80307	119983191.353	577577942.171	251984914.825	717286814.006	64449655.3047	60361989.985	86324322.1715	110170337.179	27359593.5766	133044382.383	47732797.9578	18437415.0538	87749602.5167	18196083.8286	27486482.7307	104226577.309	57817812.4935	345494845.442	77726953.9443	46201678.06	116065928.303	136738311.292
human toxicity (HTP100)	152161427330	189801614368	50302684299.8	103305536400	75420579521.6	1.51147756458e+12	99615077843.7	24925712318.4	467323727793	141787191488	582954652618	232937040762	48240235227.2	71877297427.6	834032768101	26761217078.8	13487272279	36290556373.2	5950207048.19	269647507273	148037958175	63587497629.7	103867664377	175038332226	21778924143.4	39017944890.8	1.26791048472e+12	6.03284345175e+12	2.80609104974e+12	6.76721713798e+12	668908972438	619354261261	914050527630	740162171552	248388697480	1.46377701478e+12	417262660908	188525976550	918123230643	165341836813	286043199977	1.05714931045e+12	583109719803	3.76117774549e+12	797859215960	461497398703	862183370669	1.51967944658e+12
Freshwater aquatic ecotoxicity (FAETP100)	90095206.6009	78879692.4896	37033294.9437	16042961.3482	75864328.5064	636948923.283	60681545.0906	17276557.5798	238167448.597	71946619.1741	414055625.01	102733413.844	38213066.3588	42104175.3501	293679274.871	20959797.4277	5509285.77883	27134267.2476	1903135.44918	97145595.6285	286918766.732	61525903.2482	104187377.935	71434348.3434	17063910.8352	20487524.3403	372848036.935	2346698269.02	750333105.17	8283697329.24	271163493.686	256199720.931	554257536.701	3598770783.51	311265576.379	528266966.9	205232082.624	66625529.4409	403406401.421	81362994.9712	69729431.4488	1288163091.4	413409104.447	2939738397.15	755222166.6	269636184.818	5589705985.13	451391736.969
Marine aquatic ecotoxicity (MAETP100)	10975267481.7	12918395101.2	3766144191.8	5524601207.69	6430522939.63	98701865815.7	7282732729.41	1770357807.32	33822652307.9	9596439080.53	46975741790.2	15711383637	3921488651.16	5503345295.72	54163964499.9	2090069285	916513010.109	2641803429.59	425306283.073	17110227537.7	17777724073.8	5998641227.48	8935511763.37	11427024982.6	1777881818.79	2728111525.51	76310388592.9	401045556371	171238597989	603950347554	44751522263.3	42206405711	66184629256.5	160006219262	28949387946.8	89337634779.1	28418294323.1	11998777921.9	57378638586.4	12342561125	16100572509.9	93700037683.1	41140526104.1	274308426788	69369414659.6	32041483619	223362209497	101063432586
Freshwater sedimental ecotoxicity (FSETP100)	269740806.312	227290367.51	109279197.093	41546627.612	219947987.841	1811079865.39	180472379.288	50355525.7233	690651119.121	213746358.529	1249413860.39	286694476.491	113946180.438	123803641.382	829461419.685	64073536.4748	15828377.3466	84212179.6536	5165449.42508	273586814.521	876496444.826	187142439.69	316186342.024	208465787.41	50272434.392	57406813.3722	1025056783.54	6407783860.49	2057605013.11	25956430334.4	763426400.177	724067627.586	1693611239.84	11571224119.6	935631508.699	1474730969.7	562779679.732	189542478.219	1195758623.78	224880503.971	195440026.888	4102116941.41	1258973422.93	9232117221.72	2339669668.43	796731301.97	18263244650.5	1247082276.78
Marine sedimental ecotoxicity (MSETP100)	16862154401.1	18221734343.8	6006294587.23	6953139104.02	10710340757	140573642456	11164101930.1	2803990271.42	49185322918.1	14370584010.4	73408703711.1	22122092960.3	6271951481.08	8173382362.08	74473224417.5	3417056325.4	1286273478.37	4407092855.27	552048059.554	23713568027.4	34209433497.3	9812513751.08	15263057290.9	16372916667.6	2805889261.46	3961872545.24	102725547774	552472743473	226165247981	1.11952417714e+12	62542708432.4	59024309872	103075906040	376179974987	47265544155.4	124007564470	40774637169	16624208944.8	84880419123.8	17320069463.9	21559489012.8	176067018225	67657057075.6	468391607684	116583006909	48992821533.5	565492085789	133102032065
Terrestrial ecotoxicity (TETP100)	76243400.4536	96084924.0408	23958328.8434	42242724.7944	42321508.7653	733463803.299	49000031.0452	11536940.4162	226773561.919	64966894.6748	294358888.515	115306680.105	26879860.8869	33678442.7006	388289957.774	12968940.6317	6245808.09671	15313205.2936	2595488.93391	131109664.875	93534234.8302	39917900.814	55444984.3231	82949855.0713	10976551.3728	20651727.2961	567311157.043	2717152128.93	1193898955.69	3242040130.66	303246407.832	284019020.398	402042327.548	441502893.553	124423139	626769147.234	223608441.033	86949227.5131	411622042.856	85391278.9012	130263778.611	469635095.38	267272377.052	1589167364.07	356291207.607	215407055.076	423225501.764	647727233.377
human toxicity (HTP500)	152170289390	189812584989	50306333521.9	103308680684	75428737542.3	1.51156428459e+12	99621705256.2	24927560542.2	467354272543	141794565084	582992607299	232951384498	48244358268	71881986380	834079176915	26763240439.6	13488036256.8	36293032740.9	5950487751.49	269662851806	148057661662	63592707046.5	103876318633	175047587546	21780637490.6	39021233090.8	1.26797267296e+12	6.03319154427e+12	2.80621075052e+12	6.767641438e+12	668944636238	619392772730	914092859540	740248093298	248412150356	1.46388016337e+12	417294039748	188535288091	918171044273	165355485858	286054654574	1.05719164148e+12	583138115391	3.76131803963e+12	797909453599	461523764583	862240544969	1.51975288346e+12
Freshwater aquatic ecotoxicity (FAETP500)	137495063.278	140560438.282	52999195.8721	43405188.391	103123189.817	1098216814.4	92327892.394	24871019.1162	397015878.016	114075990.425	618534513.318	179040385.268	54698005.898	67531893.0989	554553275.631	29321266.5564	9922860.65058	37147243.4404	4237323.18041	177891461.206	348342802.906	87111512.8126	139649310.596	123303769.05	24910256.103	33274832.1455	740991156.167	4289137103.81	1604001891.11	10303013591.2	485366287.844	461421285.886	829650326.089	3927584464.46	443943740.54	955170046.091	340759350.864	124062931.669	652457889.042	143465033.565	144998945.035	1586011812.24	573112006.885	3934139830.92	1036122998.22	409792205.344	5878248745.39	972656070.919
Marine aquatic ecotoxicity (MAETP500)	50408589739.1	63353012340.6	16694496886.1	29331414622.2	27261420954.5	481255389065	33494277538.3	7895067969.5	161839715257	45034074055.4	211891327101	77014401899.3	17376833046.9	25861784972.7	270713149196	9078230604.75	4505321432.75	11270063074.2	2183480930.83	85236027973	63632357106.3	25902775251	37013279439.5	55579111341.8	7932507754.81	13099586316.1	387555798312	1.99922848129e+12	878248532525	2.28662463137e+12	220795808763	207870183489	300506012248	400031606852	123872202586	443427406983	137587055160	59636793743.4	272618518023	60455376009.6	82394539255.7	349196875772	177971973996	1.14349585903e+12	291225742228	147540051329	460038855572	517146099204
Freshwater sedimental ecotoxicity (FSETP500)	387663498.822	381813424.912	148039931.935	110680394.942	283619452.322	2951559712.42	258986366.331	68608998.2407	1085372971.34	318844743.5	1759990988.08	474753071.407	154393943.286	187167601.449	1481936629.92	84922885.382	26884225.4395	109323630.326	11054004.6563	474737042.306	1020599712.39	250717412.266	402551849.878	338223235.758	69409596.1958	88567067.3085	1942157250.31	11176168589.7	4200534918.22	30926769805	1294921562.05	1234103343.78	2387710698.87	12364741129.1	1263258217.59	2532498211.35	889233799.044	333113701.649	1817688003.83	377299188.984	384786176.288	4850674680.35	1651829185.28	11735139391.2	3046412040.42	1143485515.88	18989767618.5	2561913920.91
Marine sedimental ecotoxicity (MSETP500)	55742745011.1	68040326671.4	18664941928.7	30510926673	30878034525.7	517092492885	36989028935.5	8784434720.57	175333619401	49334638392.5	236138615602	82385689634.9	19492521010.6	28245007255.9	288250765532	10312678740.2	4830544587.9	12933536599.3	2290863826.06	90913810008.8	78654471953.6	29430447183.3	42783707258.1	59972564814.6	8837541789.05	14132039223.7	409650588920	2.12161965355e+12	924599856303	2.77420271682e+12	235909245639	222271740553	334847164586	610729562686	140520683964	472720850379	147450003927	63642071537.3	297331807978	64559566583.6	87112430112.9	428633832268	202167946503	1.32787536788e+12	335901492867	162675588929	799791201826	544594471244
Terrestrial ecotoxicity (TETP500)	302126122.701	381768051.625	94503699.0614	169096048.666	165363214.581	2910284976.55	194181437.358	45471204.0925	900229324.742	258129808.823	1166311501	456911680.848	106054319.628	133746228.435	1546402883.01	51343449.6695	24868901.7715	60813498.6806	10370109.128	521345411.729	362383020.337	157098023.74	218055756.17	329991546.169	43285686.1502	81708212.5278	2260374460.32	10786265456.8	4771027233.67	12757433657.7	1206059288.3	1131343784.8	1600472578.91	1669081926.43	489578205.551	2497044678	882003562.82	346047082.902	1637088897.27	338264473.971	519402989.379	1851065301.09	1056242915.62	6302734570.88	1411143205.93	853086053.97	1570277025.33	2588211526.34
Human toxicity (USEtox) 2008	0.218865635193	0.241442769894	0.116538785049	0.0116209683689	0.201114784399	1.63533697995	0.194301777065	0.0465934510823	0.634885328738	0.204292655916	1.19239351914	0.379368989631	0.136360894793	0.145190616945	0.793226326514	0.0768414948356	0.0157115345834	0.0792257191165	0.00396837239138	0.366426910096	0.941414944608	0.165534623067	0.25721220995	0.182817092545	0.0479750096361	0.091684462909	0.934055260078	6.99238961278	1.28544089306	19.4189629064	0.936795459964	0.629616335415	1.96490700774	8.53810643329	0.88650972105	1.85630969122	0.518654360931	0.12320412909	1.07116858341	0.199954007165	0.133615800474	2.86904050949	0.891424741349	6.46075319334	2.56933665692	1.00854847577	13.3356528073	0.993782868228
Fresh water Ecotoxicity (USEtox) 2008	28622579.7295	37853511.0516	16892977.2097	1873582.61276	26060308.0164	237409551.906	29056079.7032	6315343.4624	91651336.2594	28204049.4967	168844004.533	64392595.0286	20504058.3836	22489364.1508	122567868.992	11701765.9806	2443069.1132	10849646.6411	650854.564535	60102821.9305	127314909.093	21907074.0084	32613500.6322	24293174.6214	6831807.32626	15435997.1085	139106970.549	996136894.988	180448530.102	2217117861.34	145394562.543	89815651.045	275360176.743	894658081.904	118684791.751	308011695.13	69064169.9091	16215318.6868	151664146.886	26679582.7751	19316870.1391	312289418.367	98260962.1785	725997324.614	376539602.224	161919252.405	1423295597.96	160691163.01
Human toxicity (USEtox) 2010	28726.2500661	36225.4135182	9196.00482776	15722.2871591	15957.116107	275185.630652	18987.741774	4431.99362733	88019.7240066	25073.5182667	113625.979098	42804.1612148	10415.7662309	13264.1772556	150033.487823	5242.36634861	2431.71078084	6399.44461404	1003.97600623	50041.7609077	36369.7396154	14819.3930864	21133.62798	31918.020955	4208.99649415	8001.29466223	216049.615141	1042287.04761	455033.311191	1249024.06121	115865.06001	111396.160512	156737.623473	178155.925315	51322.9819412	256995.784328	82239.6180972	32686.3292002	158718.360838	33478.5439359	48267.5183997	177053.66915	99339.7468131	602762.624584	143372.771636	81855.8921804	173380.869042	252508.086281
Fresh water Ecotoxicity (USEtox) 2010	19767354728.9	24487132703	6454784356.94	12068137764	10299270340.4	191355663153	13136542650.9	3089742952.97	62329483319.2	18124673859.7	80148301122.9	29376762458.5	6795024440.18	9805141444.58	107806047124	3552698350.79	1748550624.82	4509751244.95	774860251.144	34716157948.2	22567038479.9	9206999428.07	13767186182	22741290687.2	2951824535.98	5245630662.23	158131888744	801451264037	348185969983	882515190943	87341918725.1	81707656001.6	120033896642	118714814898	40882264922.1	180261702913	54349263399.5	23339273635.4	111637026359	23048450105.2	34192275813.6	131980529723	71393654170.3	453928706367	104826881174	57384587350.5	129177571057	194152162877
